phrase,groupe,type
Le voyant rouge de ma Freebox clignote,0,Technique
"Plus de connexion sur ma Freebox, panne totale",0,Technique
Le voyant clignote rouge et plus d'accès Internet,0,Technique
Ma box redémarre toute seule sans arrêt,0,Technique
Impossible d'accéder à Netflix via la Freebox,0,Technique
Ma commande Amazon n’a pas été livrée,0,Technique
Ma voiture fait un bruit bizarre,0,Technique
Je voudrais un remboursement,0,Technique
"Je déménage bientôt, comment transférer mon abonnement Free ?",0,Technique
Le débit est très lent depuis 3 jours,1,Technique
Je souhaite changer mon mot de passe Wi-Fi,2,Technique
Comment activer le contrôle parental sur la box ?,3,Technique
Mon téléphone fixe ne reçoit plus d'appel,4,Technique
Le décodeur TV affiche erreur E10,5,Technique
La télécommande ne fonctionne plus,5,Technique
j'aime manger,6,Générique
je vais à la piscine tous les samedis,7,Générique
le ciel est bleu aujourd'hui,8,Générique
Free propose une offre à 5 euros par mois,9,Générique
Mon frigo est en panne,10,Technique
